16/03/25 23:05:12 INFO input.FileInputFormat: Total input paths to process : 1
16/03/25 23:05:15 INFO partition.InputSampler: Using 1000 samples
16/03/25 23:05:15 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
16/03/25 23:05:15 INFO compress.CodecPool: Got brand-new compressor [.deflate]
16/03/25 23:05:15 INFO client.RMProxy: Connecting to ResourceManager at /0.0.0.0:8032
16/03/25 23:05:16 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
16/03/25 23:05:16 INFO input.FileInputFormat: Total input paths to process : 1
16/03/25 23:05:16 INFO mapreduce.JobSubmitter: number of splits:80
16/03/25 23:05:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1458946964034_0001
16/03/25 23:05:17 INFO impl.YarnClientImpl: Submitted application application_1458946964034_0001
16/03/25 23:05:17 INFO mapreduce.Job: The url to track the job: http://ec2-52-91-37-241.compute-1.amazonaws.com:8088/proxy/application_1458946964034_0001/
16/03/25 23:05:17 INFO mapreduce.Job: Running job: job_1458946964034_0001
16/03/25 23:05:27 INFO mapreduce.Job: Job job_1458946964034_0001 running in uber mode : false
		FILE: Number of bytes written=47786111007
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=10731853984
		HDFS: Number of bytes written=10624204800
		HDFS: Number of read operations=243
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=1
		Launched map tasks=81
		Launched reduce tasks=1
		Data-local map tasks=81
		Total time spent by all maps in occupied slots (ms)=5358123
		Total time spent by all reduces in occupied slots (ms)=1071998
		Total time spent by all map tasks (ms)=5358123
		Total time spent by all reduce tasks (ms)=1071998
		Total vcore-milliseconds taken by all map tasks=5358123
		Total vcore-milliseconds taken by all reduce tasks=1071998
		Total megabyte-milliseconds taken by all map tasks=5486717952
		Total megabyte-milliseconds taken by all reduce tasks=1097725952
	Map-Reduce Framework
		Map input records=107315200
		Map output records=107315200
		Map output bytes=11804672000
		Map output materialized bytes=12019302880
		Input split bytes=10400
		Combine input records=0
		Combine output records=0
		Reduce input groups=107315200
		Reduce shuffle bytes=12019302880
		Reduce input records=107315200
		Reduce output records=107315200
		Spilled Records=426576444
		Shuffled Maps =80
		Failed Shuffles=0
		Merged Map outputs=80
		GC time elapsed (ms)=87148
		CPU time spent (ms)=1663360
		Physical memory (bytes) snapshot=20863840256
		Virtual memory (bytes) snapshot=56225705984
		Total committed heap usage (bytes)=16578510848
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=10731843584
	File Output Format Counters 
		Bytes Written=10624204800
ubuntu@ip-172-31-12-177:~/hadoop/hadoop-2.7.2$ 
